,DAY,OFNS_DESC,COUNT
595,11, FRAUDS,1094
797,14, POSSESSION OF STOLEN PROPERTY,1088
1055,19, FRAUDS,1088
684,12, POSSESSION OF STOLEN PROPERTY,1083
769,14, FRAUDS,1082
480,9, FRAUDS,1074
741,13, POSSESSION OF STOLEN PROPERTY,1069
855,15, POSSESSION OF STOLEN PROPERTY,1066
1776,31, VEHICLE AND TRAFFIC LAWS,1064
712,13, FRAUDS,1063
424,8, FRAUDS,1060
281,5, POSSESSION OF STOLEN PROPERTY,1059
999,18, FRAUDS,1057
884,16, FRAUDS,1055
1253,22, POSSESSION OF STOLEN PROPERTY,1047
566,10, POSSESSION OF STOLEN PROPERTY,1042
451,8, POSSESSION OF STOLEN PROPERTY,1040
626,11, POSSESSION OF STOLEN PROPERTY,1036
193,4, FRAUDS,1034
1508,27, FRAUDS,1027
1567,28, FRAUDS,1026
509,9, POSSESSION OF STOLEN PROPERTY,1026
1170,21, FRAUDS,1018
336,6, POSSESSION OF STOLEN PROPERTY,1017
